index,age_yr,age_class,ppt_mm,GSppt_mm,GSinvkT,AinvkT,GSinvBoltzT,AinvBoltzT,lgs_mo,biomass_gm2,anpp_gm2y,ln_biomass,ln_npp,alpha,npp_gs,ln_npp_gs,npp_M,ln_npp_M,npp_gs_M,ln_npp_gs_M,T_gs,T_ma
118,21,0-40,98.7,98.7,40.19384163,40.19384163,40.2208532,40.2208532,12,10560,1385,9.264828557,7.233455419,0.995,115.4166667,4.748548769,0.137373883,-1.985048996,0.011447824,-4.469955646,15.575,15.575
119,21,0-40,87.4,71.8,40.37493277,40.07009355,40.39768293,40.10014209,10,15610,2002,9.655667014,7.60190196,0.995,200.2,5.299316867,0.13459477,-2.005486719,0.013459477,-4.308071812,14.28,16.46666667
120,21,0-40,93.2,93.2,40.37329403,40.37329403,40.39655753,40.39655753,12,9171,1246,9.123801611,7.127693699,0.995,103.8333333,4.64278705,0.14220453,-1.950488903,0.011850378,-4.435395553,14.29166667,14.29166667
121,22,0-40,1631.1,1631.1,39.07834861,39.07834861,39.08759219,39.08759219,12,20635,3044,9.934743942,8.020927719,0.995,253.6666667,5.536021069,0.15502909,-1.864142503,0.012919091,-4.349049153,23.81666667,23.81666667
122,22,0-40,1266.7,1266.7,40.22170323,40.22170323,40.24407912,40.24407912,12,10463,1438,9.255600503,7.271008538,0.995,119.8333333,4.786101888,0.143946444,-1.938313963,0.011995537,-4.423220612,15.375,15.375
123,22,0-40,933.2,920.2,40.41302293,40.53192942,40.42722357,40.54892381,11,8831,1081,9.086023537,6.985641818,0.995,98.27272727,4.587746545,0.128099035,-2.054951602,0.011645367,-4.452846875,14.00909091,13.16666667
124,22,0-40,1378.3,1343.6,40.23089336,40.37329403,40.25575471,40.40185265,11,13854,1699,9.536329279,7.437795122,0.995,154.4545455,5.039899849,0.128625202,-2.050852511,0.0116932,-4.448747783,15.30909091,14.29166667
125,22,0-40,1320.3,1282.3,40.38745114,40.52839065,40.41140881,40.555978,11,9939,1371,9.204221691,7.22329568,0.995,124.6363636,4.825400407,0.144438004,-1.934904903,0.013130728,-4.332800176,14.19090909,13.19166667
126,22,0-40,1623.2,1482.3,40.3370418,40.62889576,40.35496315,40.65480368,10,13987,1911,9.545883606,7.555381944,0.995,191.1,5.252796851,0.143306119,-1.942772244,0.014330612,-4.245357337,14.55,12.48333333
127,22,0-40,1503.4,1503.4,40.1289811,40.1289811,40.15634579,40.15634579,12,17161,2342,9.750394646,7.758760544,0.995,195.1666667,5.273853894,0.143290373,-1.942882129,0.011940864,-4.427788779,16.04166667,16.04166667
128,22,0-40,1630.8,1630.8,40.07585919,40.07585919,40.10763877,40.10763877,12,19861,2649,9.896513289,7.881937489,0.995,220.75,5.397030839,0.14014282,-1.965093233,0.011678568,-4.449999883,16.425,16.425
129,22,0-40,1688.2,1688.2,39.19383161,39.19383161,39.2050154,39.2050154,12,10090,1719,9.219300113,7.449498005,0.995,143.25,4.964591356,0.178403827,-1.723705607,0.014866986,-4.208612257,22.94166667,22.94166667
130,22,0-40,819.5,673.2,40.8122628,41.4957101,40.81394603,41.5097652,6,10343,1143,9.244065241,7.041411664,0.995,190.5,5.249652195,0.115737191,-2.156433251,0.019289532,-3.948192721,11.2,6.516666667
131,22,0-40,1652.4,1652.4,40.02057738,40.02057738,40.05224189,40.05224189,12,8977,1127,9.10242103,7.027314514,0.995,93.91666667,4.542407864,0.1313888,-2.029594411,0.010949067,-4.51450106,16.825,16.825
132,23,0-40,775.6,748.6,40.10240255,40.73347464,40.12614167,40.78271167,9,4483,526,8.408047744,6.265301213,0.995,58.44444444,4.068076635,0.122369969,-2.100706293,0.013596663,-4.29793087,16.23333333,11.75
133,23,0-40,775.6,748.6,40.10240255,40.73347464,40.12614167,40.78271167,9,6912,1017,8.84101431,6.924612396,0.995,113,4.727387819,0.153785448,-1.872196843,0.017087272,-4.06942142,16.23333333,11.75
134,23,0-40,975.8,941.5,40.425252,40.76686274,40.43118807,40.78027647,9,9337,1311,9.14174028,7.178545484,0.995,145.6666667,4.981320906,0.146975982,-1.917486095,0.016330665,-4.114710673,13.92222222,11.51666667
135,23,0-40,797,762.7,40.1857226,40.72394523,40.20497644,40.7610137,9,7531,1061,8.926783114,6.966967139,0.995,117.8888889,4.769742561,0.14731501,-1.91518206,0.016368334,-4.112406637,15.63333333,11.81666667
136,23,0-40,1170.2,1170.2,40.26706081,40.26706081,40.2921824,40.2921824,12,9979,1317,9.208238164,7.183111702,0.995,109.75,4.698205052,0.138195591,-1.979085271,0.011516299,-4.463991921,15.05,15.05
