"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
"Quercus robur, Quercus petraea with coppiced understorey of Corylus avellana, Carpinus betulus et al.",Cannell (1982).   Page 26,,49,90,1.954243,20,1.30103,168.1081081,2.225589,703.7837838,2.847439,17.2972973,1.237978,721.081081,2.857984,4.324324324,0.635918,889.1891892,2.948994174,25.56754329,1.407689,17.24324504,1.236619,5.567561205,0.745665,48.37837838,1.684651307
"Quercus petraea, Quercus robur, Betula pubescens with coppiced understorey of Corylus avellana, Carpinus betulus et al.",Cannell (1982).   Page 26,,50,135,2.130334,22,1.342423,85.78199052,1.933396,466.1137441,2.668492,7.582938389,0.879838,473.696682,2.6755,1.895734597,0.277778,559.478673,2.747783536,11.46919667,1.059533,7.48815801,0.874375,1.350709642,0.130562,20.30805687,1.307668371
"Quercus robur (75%) [a], Betula pendula (15%) [a], Sorbus aucuparia [a]",Cannell (1982).   Page 27,[a] Percentage of the total biomass.,51,22.5,1.352183,8,0.90309,3.173553719,0.501546,-999,-999,0.512396694,-0.29039,-999,-999,0.132231405,-0.87867,-999,-999,1.097521407,0.040413,0.50743451,-0.29462,0.211568009,-0.67455,1.816528926,0.259242318
"Q. robur (86%) [a], Quercus patraea, Fagus sylvatica et al.",Cannell (1982).   Page 27,[a] Percentage of the total biomass.,52,66,1.819544,22,1.342423,43.63256785,1.639811,174.7390397,2.24239,3.75782881,0.574937,178.496868,2.251631,0.521920668,-0.2824,222.1294363,2.346606115,7.473912344,0.873548,3.757828882,0.574937,1.774528587,0.249083,13.00626305,1.114152533
"Quercus robur (35%) [a], Carpinus betulus (32%) [a], Fagus sylvatica (25%) [a] and Acer campestre (3%) [a] with understorey coppice of Corylus avellana et al.",Cannell (1982).   Page 28,[a] Percentage of the total above-ground tree biomass.,53,55,1.740363,17,1.230449,23.28398385,1.367057,73.4858681,1.866204,2.355316285,0.372049,75.8411844,1.879905,0.336473755,-0.47305,99.12516824,1.996183937,5.336469112,0.727254,2.328396834,0.367057,1.345894443,0.129011,9.01076716,0.954761768
Picea abies,Cannell (1982).   Page 29,,54,55,1.740363,19,1.278754,29.21771913,1.465646,175.871819,2.245196,15.17436381,1.18111,191.046183,2.281138,0.094250707,-1.02572,220.263902,2.342943328,10.37700438,1.016072,2.318568867,0.36522,3.845430796,0.584945,16.54099906,1.218561737
Pseudotsuga menziesii with a few Fagus sylvatica,Cannell (1982).   Page 29,,55,70,1.845098,36.5,1.562293,308.7557604,2.489615,1824.884793,3.261235,35.48387097,1.550031,1860.36866,3.269599,0.460829493,-0.33646,2169.124424,3.336284464,93.08763571,1.968892,11.98157747,1.078514,17.97235548,1.254605,123.0414747,2.090051528
Tropical rainforest,Cannell (1982).   Page 30,,56,-999,-999,25,1.39794,325,2.511883,992.5,2.996731,23.25,1.366423,1015.75,3.006787,-999,-999,1340.75,3.127347806,-999,-999,-999,-999,-999,-999,-999,-999
Fagus sylvatica,Cannell (1982).   Page 31,,57,100,2,14.5,1.161368,21.20155039,1.326368,75.11627907,1.875734,1.472868217,0.168164,76.5891473,1.884167,-999,-999,97.79069767,1.990297545,0.658915919,-0.18117,1.472868588,0.168164,-999,-999,-999,-999
Fagus sylvatica,Cannell (1982).   Page 31,,58,100,2,17.2,1.235528,18.75,1.273001,155.8,2.192567,1.45,0.161368,157.25,2.196591,-999,-999,176,2.245512668,1.399999885,0.146128,1.449999993,0.161368,-999,-999,-999,-999
